,lat,lon,country_code
0,-172.04409379558638,-13.907336545176804,WS
1,-172.0383558794856,-13.907630079425871,WS
2,-172.03603040380403,-13.909899899270386,WS
3,-172.02839247882366,-13.913316026795655,WS
4,-172.02228156849742,-13.91223878506571,WS
5,-172.01718587381765,-13.912885029800236,WS
6,-172.0102409645915,-13.914648917503655,WS
7,-172.0049905399792,-13.917830353137106,WS
8,-172.00471863150597,-13.91958032688126,WS
9,-172.0047186310403,-13.919580327812582,WS
10,-172.00721509708092,-13.921142211649567,WS
11,-172.00710898218676,-13.92425005370751,WS
12,-172.0102865616791,-13.925149598624557,WS
13,-172.01126305293292,-13.927305759862065,WS
14,-172.0093073877506,-13.928859763778746,WS
15,-172.00650313775986,-13.928880047984421,WS
16,-172.00361909298226,-13.930484343785793,WS
17,-172.0043062409386,-13.934820469934493,WS
18,-172.00344525231048,-13.935912967193872,WS
19,-171.9956157160923,-13.935369988437742,WS
20,-171.9942536568269,-13.936158725060523,WS
21,-171.99424058152363,-13.938916539307684,WS
22,-171.9901128290221,-13.940577664412558,WS
23,-171.9897156949155,-13.944371146149933,WS
24,-171.99150673951954,-13.94664498930797,WS
25,-171.98874138202518,-13.951852497179061,WS
26,-171.98610577639192,-13.951557790394872,WS
27,-171.9846013924107,-13.952953880187124,WS
28,-171.97888459917158,-13.94698663521558,WS
29,-171.9762008828111,-13.947005913127214,WS
30,-171.9759955261834,-13.945373287424445,WS
31,-171.97842409834266,-13.943346542771906,WS
32,-171.97955749975517,-13.937348117586225,WS
33,-171.97544332640246,-13.934044474270195,WS
34,-171.9754433259368,-13.934044473804533,WS
35,-171.9731114800088,-13.93446306604892,WS
36,-171.97036506561562,-13.939323228783906,WS
37,-171.96355812205002,-13.944872551597655,WS
38,-171.9612329825759,-13.94851650018245,WS
39,-171.96130389301106,-13.95165636157617,WS
40,-171.95801449846476,-13.96302289282903,WS
41,-171.95175103796646,-13.969148219563067,WS
42,-171.95095207495615,-13.971291975583881,WS
43,-171.9509520744905,-13.971291976049542,WS
44,-171.95205831807107,-13.974254978820682,WS
45,-171.9503246047534,-13.975907386746258,WS
46,-171.9496072824113,-13.9787200181745,WS
47,-171.94765144819394,-13.981096455361694,WS
48,-171.93950172467157,-13.987973807379603,WS
49,-171.936837955378,-13.98903596168384,WS
50,-171.936837955378,-13.989035961218178,WS
51,-171.93428047001362,-13.988074556924403,WS
52,-171.932617331855,-13.988899839576334,WS
53,-171.93135015666485,-13.990355943795294,WS
54,-171.9111361913383,-13.951939502265304,WS
55,-171.92554786754772,-13.855454911012203,WS
56,-171.92079449025914,-13.803772599902004,WS
57,-171.92198103200644,-13.803541594650596,WS
58,-171.92343680141494,-13.805210766848177,WS
59,-171.92886827513576,-13.806532425805926,WS
60,-171.9311352437362,-13.808942893054336,WS
61,-171.93425834132358,-13.809940004721284,WS
62,-171.94115178566426,-13.809724757447839,WS
63,-171.94575361860916,-13.814499424304813,WS
64,-171.9527228353545,-13.815293358638883,WS
65,-171.96452505886555,-13.825199762359262,WS
66,-171.97165805846453,-13.828205512370914,WS
67,-171.97846617549658,-13.827599836047739,WS
68,-171.9904340240173,-13.828889810945839,WS
69,-172.010954934638,-13.82897731848061,WS
70,-172.01881783036515,-13.823865698184818,WS
71,-172.02196607366204,-13.825156008359045,WS
72,-172.02910024672747,-13.825572421774268,WS
73,-172.03484352724627,-13.829508395399898,WS
74,-172.03672761144117,-13.829627418890595,WS
75,-172.04202782316133,-13.83707725442946,WS
76,-172.0430014654994,-13.840771661140025,WS
77,-172.04181173769757,-13.841271390207112,WS
78,-172.02276067761704,-13.870453823823482,WS
79,-172.02276067715138,-13.870453824754804,WS
80,-172.0439776214771,-13.891267767641693,WS
81,-172.0464087082073,-13.890194883570075,WS
82,-172.05904895393178,-13.898571254685521,WS
83,-172.05477384803817,-13.903151293285191,WS
84,-172.05477384803817,-13.90315129281953,WS
85,-172.04640870913863,-13.890194882638752,WS
86,-172.04397762240842,-13.89126776671037,WS
87,-172.0227606780827,-13.870453823823482,WS
88,-172.04181173769757,-13.841271391138434,WS
89,-172.04300146503374,-13.840771662071347,WS
90,-172.04307891335338,-13.841064860112965,WS
91,-172.04786330414936,-13.845106781460345,WS
92,-172.0574783529155,-13.850471367593855,WS
93,-172.06381909456104,-13.860405766405165,WS
94,-172.0731489919126,-13.866056511178613,WS
95,-172.07206638529897,-13.868442838545889,WS
96,-172.07233443809673,-13.873998363502324,WS
97,-172.06919407378882,-13.877071672584862,WS
98,-172.06587450532243,-13.88524101069197,WS
99,-172.065841648262,-13.886718739755452,WS
100,-172.0664102761075,-13.893460136838257,WS
101,-172.06205604597926,-13.895349754020572,WS
102,-172.05904895439744,-13.898571253754199,WS
103,-172.11841328069568,-13.848291568923742,WS
104,-172.118189483881,-13.852247659582645,WS
105,-172.11647924035788,-13.855347790755332,WS
106,-172.10687307594344,-13.860043668653816,WS
107,-172.10579281672835,-13.861442607827485,WS
108,-172.10449529858306,-13.861287206877023,WS
109,-172.10489042149857,-13.858965587802231,WS
110,-172.1019470319152,-13.855086443014443,WS
111,-172.10101496474817,-13.85045644827187,WS
112,-172.10555259231478,-13.842372940387577,WS
113,-172.10855415090919,-13.840325911995023,WS
114,-172.12215479416773,-13.844329276587814,WS
115,-172.12224934250116,-13.846362222917378,WS
116,-172.11928064003587,-13.846837309654802,WS
117,-172.1493166871369,-13.82922173384577,WS
118,-172.14574784133583,-13.824884601868689,WS
119,-172.1460968637839,-13.821099334862083,WS
120,-172.14946571784094,-13.81836767308414,WS
